and_A,and_B,label,sentence1,sentence2
,,0,cecilia went to bucharest and stephen went to bucharest,ken didn t go to bucharest
,,1,raul created a vast work of art and raul created an uptight work of art,raul didn t create a vast work of art
,,1,"Charlie, who is a tailor, bought the new Tesla Roadster",Charlie didn't buy the new Tesla Roadster
,,1,"Wendy, who is a lawyer, bought a cup of coffee",Wendy didn't buy a cup of coffee
,,0,Joan saw a girl running from a white car,Joan didn't saw a girl running from a parade car
,,0,douglas has traveled to oradea and bobby has traveled to oradea,douglas didn t travel to dej
,,0,isaac created a magnificent work of art and isaac created a delightful work of art,alfredo didn t create a delightful work of art
,,1,leon went to craiova and hugh went to craiova,leon didn t go to craiova
,,0,"Suzanne, who is a bartender, bought the new Tesla Roadster","Suzanne, Kathryn's mother, didn't buy the new Tesla Roadster"
,,1,cheryl has traveled to mangalia and felix has traveled to mangalia,felix didn t travel to mangalia
,,1,William saw a girl driving in Tulcea,William didn't saw a girl driving
,,0,naomi has visited arad and naomi has visited bucharest,naomi didn t visit craiova
,,1,mathew went to baia mare and mathew went to bucharest,mathew didn t go to bucharest
,,1,sandy spoke to me and sandy cut a tree,sandy didn t cut a tree
,,1,cheryl has visited tulcea and cheryl has visited reghin,cheryl didn t visit tulcea
,,0,ron created a shapely work of art and ron created a yellow work of art,ron didn t create an uninterested work of art
,,1,leroy created a scary work of art and leroy created a defeated work of art,leroy didn t create a scary work of art
,,1,kathryn has traveled to reghin and connie has traveled to reghin,connie didn t travel to reghin
Dawn is happy,Nathaniel is victorious,0,Dawn is happy and Nathaniel is victorious, Joyce is not uninterested
Vanessa is gentle,Mildred is thankful,1,Vanessa is gentle and Mildred is thankful, Vanessa is not gentle
Charlene is faithful,Roger is shy,0,Charlene is faithful and Roger is shy, Charlene is not shy
,,0,jeffrey has traveled to craiova and jeffrey has traveled to slobozia,manuel didn t travel to craiova
,,0,ray went to mangalia and april went to mangalia,tracy didn t go to mangalia
,,1,ken created a vast work of art and ken created an agreeable work of art,ken didn t create a vast work of art
,,0,harvey created a mysterious work of art and harvey created a lazy work of art,agnes didn t create a lazy work of art
,,1,"Annette, who is a cleaner, bought a pizza",Annette didn't buy a pizza
,,1,alan went to cluj napoca and alan went to arad,alan didn t go to cluj napoca
Micheal is ambitious,Susie is hallowed,0,Micheal is ambitious and Susie is hallowed, Micheal is not hallowed
Michele is shy,Caroline is better,1,Michele is shy and Caroline is better, Caroline is not better
,,1,heather created a witty work of art and heather created an orange work of art,heather didn t create a witty work of art
,,1,terri created a tender work of art and terri created a long work of art,terri didn t create a tender work of art
,,1,"Norman, who is a secretary, saw a blue plane",Norman didn't saw a blue plane
,,1,kenneth created a dazzling work of art and kenneth created a helpless work of art,kenneth didn t create a dazzling work of art
,,1,tim went to bucharest and maryann went to bucharest,maryann didn t go to bucharest
Sherry is victorious,Sue is powerful,0,Sherry is victorious and Sue is powerful, Sherry is not powerful
,,0,harry created a flabby work of art and harry created a shapely work of art,laurie didn t create a flabby work of art
,,0,brandi created a muscular work of art and brandi created a mushy work of art,brandi didn t create a gorgeous work of art
Tiffany is zealous,Catherine is nice,0,Tiffany is zealous and Catherine is nice, Gloria is vast
Frances is calm,Hector is unimportant,0,Frances is calm and Hector is unimportant, Frances is not unimportant
,,1,"Kristine, who is a pilot, bought the new Marvel movie from the Russo Brothers",Kristine isn't a pilot
,,0,leona has traveled to lugoj and leona has traveled to cluj napoca,leona didn t travel to reghin
,,0,"Johnny, who is a technician, visit Hilda","Johnny, Rosa's father, didn't visit Hilda"
,,1,june spent all my money and june ate it all,june didn t eat it all
,,1,guadalupe has visited giurgiu and guadalupe has visited tulcea,guadalupe didn t visit giurgiu
,,0,herman created an uninterested work of art and herman created a skinny work of art,troy didn t create an uninterested work of art
,,0,benjamin created an obedient work of art and benjamin created a brave work of art,hector didn t create an obedient work of art
,,0,"Jo, who is a bartender, visit Sidney","Jo, who is a butcher, didn't visit Sidney"
,,0,colleen created a dead work of art and colleen created a fancy work of art,ann didn t create a fancy work of art
,,0,Jaime saw a girl driving in Bucharest,Jaime didn't saw a girl driving Steve's new Tesla Roadster
,,1,priscilla brought me out of erika s house and priscilla told me arnold s secret,priscilla didn t bring me out of erika s house
,,0,lori created a defeated work of art and lori created a purple work of art,dana didn t create a purple work of art
,,0,lydia has traveled to turda and belinda has traveled to turda,marguerite didn t travel to turda
,,0,joseph created a repulsive work of art and joseph created a fancy work of art,lois didn t create a repulsive work of art
,,0,angie has visited dej and angie has visited craiova,angie didn t visit hunedoara
Wayne is obedient,Jose is gentle,1,Wayne is obedient and Jose is gentle, Wayne is not obedient
,,0,velma has traveled to hunedoara and velma has traveled to arad,wayne didn t travel to hunedoara
,,0,diane created a fancy work of art and diane created a clean work of art,joann didn t create a fancy work of art
,,0,"Marian, who is a barber, saw the accident","Marian, who is a secretary, didn't saw the accident"
,,1,christina caught a mango fish and christina flew to vaslui,christina didn t catch a mango fish
,,1,terrance created an eager work of art and terrance created a rich work of art,terrance didn t create an eager work of art
,,1,Lois saw Kayla driving Lester's bicycle,Lois didn't saw Kayla driving
,,1,Jill saw a boy running from a special recently built bus,Jill didn't saw a boy running
,,1,Janie saw a girl running from a orange school bus,Janie didn't saw a girl running
,,1,roberto drank a bottle of wine and roberto drove awayto the bus stop,roberto didn t drive awayto the bus stop
,,1,megan froze my account and megan became lorraine best friend,megan didn t freeze my account
Erik is mushy,Emily is famous,1,Erik is mushy and Emily is famous, Emily is not famous
,,1,charlie has visited cluj napoca and minnie has visited cluj napoca,minnie didn t visit cluj napoca
,,0,Antoinette saw a girl running from a ashy bus,Antoinette didn't saw a girl running from a bus going to Tulcea
,,1,guy dug a hole in the garden and guy sang a nice song,guy didn t sing a nice song
,,1,shane rode the horse and shane taught middle school science,shane didn t teach middle school science
,,1,rene created a helpless work of art and rene created a drab work of art,rene didn t create a helpless work of art
,,0,beth created a victorious work of art and beth created a witty work of art,ryan didn t create a witty work of art
,,0,claire went to lugoj and ramona went to lugoj,ramona didn t go to hunedoara
,,0,velma has traveled to slobozia and velma has traveled to lugoj,velma didn t travel to mangalia
,,1,alfred created a clean work of art and alfred created an ugly work of art,alfred didn t create a clean work of art
,,1,mildred took a summer job and mildred fell to the floor,mildred didn t fall to the floor
,,1,allan wrote me a letter and allan brought me out of kay s house,allan didn t bring me out of kay s house
,,0,dana has traveled to slatina and dana has traveled to baia mare,marian didn t travel to baia mare
,,0,joe read the news and joe was the first in line,joe didn t blow it
,,1,lorraine created a fit work of art and lorraine created a blue work of art,lorraine didn t create a fit work of art
,,1,armando created a bald work of art and armando created a muscular work of art,armando didn t create a bald work of art
,,1,rose created a silly work of art and rose created an odd work of art,rose didn t create a silly work of art
,,1,ramon created a nervous work of art and ramon created an aggressive work of art,ramon didn t create a nervous work of art
Annie is polite,Charlene is hallowed,0,Annie is polite and Charlene is hallowed, Charlene is not polite
,,0,allen went to mangalia and donna went to mangalia,eileen didn t go to mangalia
Ana is important,Rachel is alive,1,Ana is important and Rachel is alive, Rachel is not alive
,,1,jodi found him and jodi said nice things,jodi didn t say nice things
,,0,anita created a helpful work of art and anita created a gentle work of art,inez didn t create a gentle work of art
,,1,dana created a vast work of art and dana created a clever work of art,dana didn t create a vast work of art
Elizabeth is aggressive,Jimmie is eager,1,Elizabeth is aggressive and Jimmie is eager, Elizabeth is not aggressive
,,1,daisy beat him and daisy won the soccer match,daisy didn t beat him
,,1,dolores was the first in line and dolores drove awayto the bus stop,dolores didn t drive awayto the bus stop
Shelley is thankful,Luz is hallowed,0,Shelley is thankful and Luz is hallowed, Luz is not thankful
,,1,florence created a helpful work of art and florence created an attractive work of art,florence didn t create a helpful work of art
Dorothy is powerful,Ellen is alive,1,Dorothy is powerful and Ellen is alive, Ellen is not alive
,,0,fannie read a paper and fannie paid me,ida didn t pay me
,,1,"Kristi, who is a carpenter, bought a cup of coffee",Kristi isn't a carpenter
,,0,tyler began crying and tyler heard rebecca,franklin didn t hear rebecca
,,1,Barry saw Justin running from a purple school bus,Barry didn't saw Justin running
,,1,"Kathy, who is a musician, visit Rosemary",Kathy isn't a musician
Willie is shy,Peggy is tender,1,Willie is shy and Peggy is tender, Peggy is not tender
,,0,bradley found him and bradley taught middle school science,jonathan didn t teach middle school science
,,1,april lent me some money and april hit him,april didn t lend me some money
,,1,"Allan, who is a fireman, bought a Chilean wine",Allan didn't buy a Chilean wine
,,0,alberto created an unkempt work of art and alberto created a stocky work of art,leslie didn t create an unkempt work of art
,,0,claudia fought martin and claudia bet on the wining horse,billie didn t fight martin
,,0,"Victor, who is a scientist, visit Carol","Victor, Pearl's father, didn't visit Carol"
,,0,vera created a fierce work of art and vera created a handsome work of art,christina didn t create a fierce work of art
,,0,zachary drove awayto the bus stop and zachary made me change the way i wrote,kim didn t drive awayto the bus stop
,,0,bessie created a clever work of art and bessie created a quaint work of art,stella didn t create a clever work of art
,,1,amy created a dazzling work of art and amy created an ambitious work of art,amy didn t create a dazzling work of art
,,1,jason heard my voice and jason woke up,jason didn t hear my voice
,,0,judy showed my new photos and judy bought a mango bicycle,vernon didn t buy a mango bicycle
,,1,guy laid down and guy felt an outsider,guy didn t lay down
Allison is witty,Angela is agreeable,1,Allison is witty and Angela is agreeable, Allison is not witty
,,1,mark created a faithful work of art and mark created a clean work of art,mark didn t create a faithful work of art
,,0,carl has visited cluj napoca and greg has visited cluj napoca,crystal didn t visit cluj napoca
,,0,belinda went to hunedoara and belinda went to hunedoara,susan didn t go to hunedoara
,,0,"Jacqueline, who is a hairdresser, visit Erika","Jacqueline, Ashley's mother, didn't visit Erika"
,,0,laurie said funny things and laurie hurt him,pearl didn t say funny things
,,1,constance has visited tulcea and constance has visited blaj,constance didn t visit tulcea
,,0,viola created an icy work of art and viola created a mysterious work of art,viola didn t create a tender work of art
,,1,theodore bent the blue rod and theodore froze my account,theodore didn t freeze my account
,,1,"Herman, who is a pilot, visit Darryl",Herman isn't a pilot
Jennifer is careful,Adam is hallowed,1,Jennifer is careful and Adam is hallowed, Adam is not hallowed
Alexander is brave,Christopher is calm,0,Alexander is brave and Christopher is calm, Jaime is not mealy
Leslie is unimportant,Angel is vast,1,Leslie is unimportant and Angel is vast, Angel is not vast
,,0,norman got the money and norman threw everything out the window,norman didn t hang up on me
Lindsey is shy,Virginia is wrong,1,Lindsey is shy and Virginia is wrong, Virginia is not wrong
Mabel is calm,Ernest is polite,1,Mabel is calm and Ernest is polite, Mabel is not calm
,,0,jenny created a red work of art and jenny created a mushy work of art,billie didn t create a mushy work of art
,,0,Shane saw a girl driving a ashy bicycle,Shane didn't saw a girl driving in Hunedoara
Raul is nice,Thomas is dead,0,Raul is nice and Thomas is dead, Raul is not dead
,,1,daniel told me about the bars in dej and daniel wrote me about felicia,daniel didn t tell me about the bars in dej
,,0,tyrone sat on the mat and tyrone drew ahead of the other runners,tyrone didn t show cecilia s old photos
Elmer is kind,Gerald is calm,1,Elmer is kind and Gerald is calm, Elmer is not kind
,,1,marjorie created a kind work of art and marjorie created a gentle work of art,marjorie didn t create a kind work of art
,,1,lucy let me drive frank s gray car and lucy shut the door down,lucy didn t shut the door down
,,1,sandy went to oradea and sandy went to blaj,sandy didn t go to oradea
,,0,"Matthew, who is a tailor, saw the accident","Matthew, Jason's father, didn't saw the accident"
Bobbie is lively,Glen is wrong,0,Bobbie is lively and Glen is wrong, Bobbie is not wrong
Lola is mealy,Wendy is poor,1,Lola is mealy and Wendy is poor, Wendy is not poor
Richard is powerful,Erika is inexpensive,1,Richard is powerful and Erika is inexpensive, Erika is not inexpensive
Dale is gifted,Gladys is mealy,1,Dale is gifted and Gladys is mealy, Gladys is not mealy
,,0,david paid him and david sent me a note,melissa didn t send me a note
,,1,leonard has visited baia mare and leonard has visited hunedoara,leonard didn t visit hunedoara
Lillie is aggressive,Arnold is mealy,0,Lillie is aggressive and Arnold is mealy, Arnold is not aggressive
,,1,paula has visited timisoara and alison has visited timisoara,paula didn t visit timisoara
,,0,margie went to slobozia and jimmy went to slobozia,joann didn t go to slobozia
Lillian is polite,Delores is kind,1,Lillian is polite and Delores is kind, Lillian is not polite
,,0,don has visited craiova and don has visited reghin,don didn t visit timisoara
,,1,nelson stood up to bonnie and nelson sat on the floor,nelson didn t stand up to bonnie
,,1,amy created a flabby work of art and amy created a delightful work of art,amy didn t create a flabby work of art
,,1,"Morris, who is a barber, bought the new Tesla Roadster",Morris isn't a barber
Albert is victorious,Troy is gentle,1,Albert is victorious and Troy is gentle, Albert is not victorious
Alex is gentle,Steve is aggressive,1,Alex is gentle and Steve is aggressive, Alex is not gentle
Ethel is brave,Derrick is ambitious,0,Ethel is brave and Derrick is ambitious, Michelle is not famous
,,0,tommy has traveled to dej and colleen has traveled to dej,colleen didn t travel to lugoj
,,1,Grace saw Hazel driving an electric blue bicycle,Grace didn't saw Hazel driving
,,0,jane has traveled to giurgiu and rose has traveled to giurgiu,rose didn t travel to cluj napoca
,,1,frederick has traveled to blaj and ramon has traveled to blaj,ramon didn t travel to blaj
,,0,jose fell in love with martin and jose sang a pop song,mitchell didn t fall in love with martin
,,0,christina has traveled to dej and dennis has traveled to dej,christina didn t travel to slatina
Ann is wrong,Cheryl is vast,1,Ann is wrong and Cheryl is vast, Cheryl is not vast
,,1,"Arnold, who is a builder, bought a japanese novel",Arnold isn't a builder
,,0,marc created a clever work of art and marc created a clean work of art,bryan didn t create a clean work of art
,,1,marlene fell to the floor and marlene dug a hole,marlene didn t fall to the floor
,,0,Tony saw a boy driving in Cluj-Napoca,Tony didn't saw a boy driving Don's car
Jenny is better,Jon is helpful,1,Jenny is better and Jon is helpful, Jon is not helpful
,,0,"Howard, who is a vet, saw the new Tesla Roadster","Howard, who is a pilot, didn't saw the new Tesla Roadster"
,,0,lloyd created an unsightly work of art and lloyd created a gray work of art,micheal didn t create an unsightly work of art
Danny is lively,Ernest is calm,1,Danny is lively and Ernest is calm, Danny is not lively
,,1,Johnnie saw Frederick running from a parade car,Johnnie didn't saw Frederick running
,,0,byron created a hallowed work of art and byron created a dazzling work of art,byron didn t create a mango work of art
,,0,luz created a white work of art and luz created a panicky work of art,leo didn t create a white work of art
Candice is kind,Brandy is faithful,1,Candice is kind and Brandy is faithful, Candice is not kind
,,1,stella created a famous work of art and stella created a poor work of art,stella didn t create a famous work of art
,,0,"Eileen, who is a bartender, bought a Macbook","Eileen, Maxine's mother, didn't buy a Macbook"
Paula is eager,Adrian is kind,1,Paula is eager and Adrian is kind, Paula is not eager
,,1,frances has visited turda and frances has visited reghin,frances didn t visit turda
,,0,vera hung up on carole and vera ate it all,brad didn t eat it all
Margarita is ambitious,Marion is faithful,0,Margarita is ambitious and Marion is faithful, Carlos is gifted
,,1,ivan let me drive melvin s green car and ivan found this icy car,ivan didn t let me drive melvin s green car
Johnnie is easy,Melissa is careful,1,Johnnie is easy and Melissa is careful, Melissa is not careful
,,1,nathan has visited reghin and nathan has visited deva,nathan didn t visit reghin
,,1,antonio created a helpless work of art and antonio created a silly work of art,antonio didn t create a helpless work of art
Scott is brave,Nathan is mealy,0,Scott is brave and Nathan is mealy, Nathan is not brave
Dustin is delightful,Donna is lively,0,Dustin is delightful and Donna is lively, Bob is vast
,,1,darrell left barcelona for tulcea and darrell drank an orange juice,darrell didn t drink an orange juice
,,1,"Valerie, who is a painter, saw the new Marvel movie from the Russo Brothers",Valerie isn't a painter
,,0,kim created a defeated work of art and kim created a poor work of art,kim didn t create a scruffy work of art
,,1,yvonne created a dead work of art and yvonne created a thoughtless work of art,yvonne didn t create a dead work of art
,,1,"Lula, who is a cleaner, visit Natalie",Lula didn't visit Natalie
,,0,gloria dreamed of the being a lawyer and gloria spent all my money,gina didn t dream of the being a lawyer
Jill is kind,Allison is nice,1,Jill is kind and Allison is nice, Jill is not kind
Norman is eager,Jordan is brave,0,Norman is eager and Jordan is brave, Louis is not odd
,,1,"Wilma, who is a cop, visit Seth",Wilma didn't visit Seth
,,1,joanna took the footage and joanna beat us a lot,joanna didn t beat us a lot
,,1,michelle hung up on me and michelle read a paper,michelle didn t read a paper
,,1,dale broke the record and dale rode the horse,dale didn t break the record
,,0,marilyn created a helpless work of art and marilyn created a clumsy work of art,tina didn t create a helpless work of art
,,1,theodore threw everything out the window and theodore blew it when he didn t invest in amazon,theodore didn t blow it when he didn t invest in amazon
,,1,raul lent me bernice s green bicycle and raul sang a nice song,raul didn t sing a nice song
,,0,charlie created a dazzling work of art and charlie created a better work of art,rene didn t create a dazzling work of art
,,1,robert created a jolly work of art and robert created a salmon work of art,robert didn t create a jolly work of art
,,1,"Brandy, who is a nurse, saw the accident",Brandy didn't saw the accident
,,0,ramon created a proud work of art and ramon created an obnoxious work of art,susie didn t create a proud work of art
,,0,alice created a helpless work of art and alice created a polite work of art,donald didn t create a polite work of art
,,0,"Dean, who is a bartender, saw a girl running","Dean, Roland's father, didn't saw a girl running"
Kayla is proud,Edna is uninterested,0,Kayla is proud and Edna is uninterested, Edna is not proud
,,1,georgia let me drive brandy s salmon car and georgia heard me,georgia didn t hear me
,,1,mae met her and mae caught a green fish,mae didn t catch a green fish
,,1,lonnie created a repulsive work of art and lonnie created a lemon work of art,lonnie didn t create a repulsive work of art
,,1,denise hurt her and denise became very important to me,denise didn t hurt her
,,1,floyd created a yellow work of art and floyd created a chubby work of art,floyd didn t create a yellow work of art
,,1,ian has traveled to blaj and ian has traveled to bucharest,ian didn t travel to blaj
Rodney is obedient,Isabel is zealous,1,Rodney is obedient and Isabel is zealous, Rodney is not obedient
,,0,amber has traveled to hunedoara and amber has traveled to cluj napoca,amber didn t travel to oradea
,,1,scott has traveled to baia mare and kristi has traveled to baia mare,kristi didn t travel to baia mare
,,1,dennis created a pitiful work of art and dennis created an important work of art,dennis didn t create a pitiful work of art
,,0,"Jeffery, who is a photographer, bought a Macbook","Jeffery, who is a cleaner, didn't buy a Macbook"
,,1,russell has traveled to bucharest and robin has traveled to bucharest,robin didn t travel to bucharest
,,0,Kristen saw a girl running from a parade car,Kristen didn't saw a girl running from Norman's car
,,1,daisy created a shapely work of art and daisy created an unsightly work of art,daisy didn t create a shapely work of art
,,0,Lorraine saw a boy running from a bus going to Giurgiu,Lorraine didn't saw a boy running from a lemon school bus
,,1,megan has visited blaj and rosa has visited blaj,megan didn t visit blaj
Rosemary is ambitious,Carmen is obedient,1,Rosemary is ambitious and Carmen is obedient, Rosemary is not ambitious
,,1,brandy drank an orange juice and brandy knew about us,brandy didn t drink an orange juice
,,0,rachel went to timisoara and rachel went to tulcea,jane didn t go to tulcea
,,1,hazel created a famous work of art and hazel created an uptight work of art,hazel didn t create a famous work of art
,,1,brad has visited cluj napoca and maggie has visited cluj napoca,brad didn t visit cluj napoca
Brett is dead,Tracy is important,1,Brett is dead and Tracy is important, Tracy is not important
Dennis is eager,Andrew is helpful,0,Dennis is eager and Andrew is helpful, Andrew is not eager
Mike is rich,Caroline is easy,1,Mike is rich and Caroline is easy, Caroline is not easy
,,0,irma understood what joy comment about hunedoara and irma made coffee,sidney didn t make coffee
,,1,tara created a scruffy work of art and tara created a faithful work of art,tara didn t create a scruffy work of art
,,1,joseph threw everything out the window and joseph did some good work,joseph didn t do some good work
,,0,clifford created a better work of art and clifford created a faithful work of art,cindy didn t create a better work of art
Bryan is poor,Arthur is odd,1,Bryan is poor and Arthur is odd, Arthur is not odd
,,0,elaine left me waiting and elaine hung up on glen,elaine didn t write me an email
,,0,guadalupe has visited mangalia and jeff has visited mangalia,guadalupe didn t visit giurgiu
,,0,jerome created a tender work of art and jerome created a glamorous work of art,jerome didn t create a bewildered work of art
,,0,"Marie, who is a vet, saw a girl running","Marie, Ruby's mother, didn't saw a girl running"
,,1,"Kenneth, who is a nurse, bought a japanese novel",Kenneth didn't buy a japanese novel
,,0,yolanda understood what vickie comment about timisoara and yolanda thought i was living in blaj,seth didn t think i was living in blaj
,,1,Sylvia saw a boy running from a salmon car,Sylvia didn't saw a boy running
,,1,"Juanita, who is a bartender, visit Jacob",Juanita didn't visit Jacob
,,0,tina created a hallowed work of art and tina created a salmon work of art,tina didn t create an itchy work of art
Roberto is witty,Shane is calm,1,Roberto is witty and Shane is calm, Roberto is not witty
,,0,bobbie began crying and bobbie spoke to her about don,sidney didn t speak to her about don
,,1,olga created a wrong work of art and olga created a glamorous work of art,olga didn t create a wrong work of art
,,0,"Kathleen, who is a flight attendant, visit Olga","Kathleen, who is a receptionist, didn't visit Olga"
,,0,priscilla swam out toward the blue boat and priscilla read the book about spiders,elaine didn t read the book about spiders
,,1,joshua has visited vaslui and ralph has visited vaslui,joshua didn t visit vaslui
,,0,"Julian, who is a butcher, saw the accident","Julian, Jacqueline's father, didn't saw the accident"
Floyd is inexpensive,Lonnie is mealy,1,Floyd is inexpensive and Lonnie is mealy, Lonnie is not mealy
,,1,donna has traveled to arad and donna has traveled to turda,donna didn t travel to arad
,,1,cecilia was a fan of leah s work and cecilia woke up,cecilia didn t wake up
,,1,deborah woke up and deborah fell in love with monica,deborah didn t wake up
,,1,randy has visited giurgiu and randy has visited vaslui,randy didn t visit vaslui
,,1,gerald created a bald work of art and gerald created an obedient work of art,gerald didn t create a bald work of art
,,1,maurice created a kind work of art and maurice created an elegant work of art,maurice didn t create a kind work of art
,,0,ralph has traveled to slobozia and ralph has traveled to vaslui,cecilia didn t travel to vaslui
,,1,paula created a handsome work of art and paula created a delightful work of art,paula didn t create a handsome work of art
,,1,benjamin hurt me and benjamin blew it,benjamin didn t blow it
,,0,tony found this purple car and tony built an altar for alfred,micheal didn t find this purple car
,,1,sheila spent all my money and sheila flew to oradea,sheila didn t fly to oradea
Tiffany is mealy,Stacy is mealy,1,Tiffany is mealy and Stacy is mealy, Stacy is not mealy
,,1,candace has visited arad and glenda has visited arad,candace didn t visit arad
,,0,julie created a repulsive work of art and julie created a gifted work of art,julie didn t create a polite work of art
Maureen is polite,Hazel is calm,0,Maureen is polite and Hazel is calm, Terry is not important
,,1,Misty saw a girl driving a purple car,Misty didn't saw a girl driving
,,0,harry created a helpful work of art and harry created a scruffy work of art,sabrina didn t create a scruffy work of art
Michelle is wrong,Keith is tender,1,Michelle is wrong and Keith is tender, Keith is not tender
,,1,tracy created a beautiful work of art and tracy created a rich work of art,tracy didn t create a beautiful work of art
,,1,harvey has visited oradea and rene has visited oradea,harvey didn t visit oradea
,,0,arthur felt an outsider and arthur won the game,arthur didn t have a white car
Lloyd is eager,Roberto is wrong,0,Lloyd is eager and Roberto is wrong, Lloyd is not wrong
,,1,frederick has traveled to mangalia and jerome has traveled to mangalia,frederick didn t travel to mangalia
,,0,sue went to teresa s house and sue flew to craiova,jan didn t fly to craiova
,,1,katherine went to slatina and katherine went to deva,katherine didn t go to slatina
,,0,wilma went to hunedoara and wilma went to blaj,vincent didn t go to blaj
,,0,sabrina has visited craiova and raymond has visited craiova,regina didn t visit craiova
,,1,myrtle went to turda and brad went to turda,brad didn t go to turda
,,0,Megan saw a girl running from a salmon school bus,Megan didn't saw a girl running from a parade car
,,1,diana created an aggressive work of art and diana created a delightful work of art,diana didn t create an aggressive work of art
,,1,veronica has visited vaslui and kristi has visited vaslui,veronica didn t visit vaslui
,,1,ian forgot about leslie s past and ian took office,ian didn t forget about leslie s past
,,1,laurie paid me and laurie chose to live in tulcea,laurie didn t pay me
,,1,janie forgot about kyle s past and janie ate a steak,janie didn t eat a steak
,,0,jason created a shy work of art and jason created a victorious work of art,priscilla didn t create a victorious work of art
,,0,claire created an odd work of art and claire created a mysterious work of art,robin didn t create a mysterious work of art
,,1,patrick ran into wayne and patrick lent me maxine s green bicycle,patrick didn t ring into wayne
,,1,justin stood up to shelly and justin broke the rules,justin didn t break the rules
Nicholas is tender,Michele is uninterested,1,Nicholas is tender and Michele is uninterested, Michele is not uninterested
,,0,craig created an itchy work of art and craig created a thoughtless work of art,clara didn t create an itchy work of art
,,0,sean hurt me and sean ran into diana,bernard didn t ring into diana
,,1,"Clara, who is a receptionist, visit Peter",Clara isn't a receptionist
,,1,bobby created a victorious work of art and bobby created a skinny work of art,bobby didn t create a victorious work of art
,,0,leslie sat on the chair and leslie lent me some money a month before,sylvia didn t sit on the chair
,,0,franklin created a polite work of art and franklin created a repulsive work of art,christopher didn t create a polite work of art
,,0,rick created a thankful work of art and rick created a kind work of art,joanna didn t create a thankful work of art
,,0,andrea went to arad and yvette went to arad,arnold didn t go to arad
Candace is thankful,Harry is nice,1,Candace is thankful and Harry is nice, Candace is not thankful
Maggie is better,Cindy is vast,1,Maggie is better and Cindy is vast, Cindy is not vast
,,1,lauren went to dej and lauren went to baia mare,lauren didn t go to dej
,,1,lillie drank a beer and lillie told me about the bars in slatina,lillie didn t tell me about the bars in slatina
,,0,amelia has visited hunedoara and don has visited hunedoara,clarence didn t visit hunedoara
,,1,joshua created a shy work of art and joshua created a dazzling work of art,joshua didn t create a shy work of art
Luis is polite,Beatrice is ambitious,1,Luis is polite and Beatrice is ambitious, Luis is not polite
,,1,rose spoke to him about deva and rose lent me some money,rose didn t lend me some money
,,0,april created a stocky work of art and april created an ugly work of art,jennifer didn t create an ugly work of art
,,1,annie went to oradea and willie went to oradea,willie didn t go to oradea
,,1,matthew has traveled to bucharest and matthew has traveled to tulcea,matthew didn t travel to tulcea
Luz is victorious,Sheryl is poor,0,Luz is victorious and Sheryl is poor, Luz is not poor
,,1,"Billie, who is a painter, saw the car crash",Billie isn't a painter
,,1,karen created an orange work of art and karen created a mysterious work of art,karen didn t create an orange work of art
Shelley is dead,Debra is vast,1,Shelley is dead and Debra is vast, Debra is not vast
,,1,"Karl, who is a flight attendant, bought a cup of coffee",Karl didn't buy a cup of coffee
,,0,Nora saw a boy running from a special recently built bus,Nora didn't saw a boy running from a purple car
,,1,"Gordon, who is a cop, saw the accident",Gordon isn't a cop
,,1,rachel sat on the chair and rachel taught tara about songwriting,rachel didn t teach tara about songwriting
Constance is poor,Don is rich,1,Constance is poor and Don is rich, Don is not rich
,,1,carmen created an ugly work of art and carmen created a victorious work of art,carmen didn t create an ugly work of art
,,0,rosemary has traveled to cluj napoca and lucille has traveled to cluj napoca,rosemary didn t travel to blaj
,,0,jorge created a helpless work of art and jorge created a clumsy work of art,fernando didn t create a helpless work of art
,,1,"Tamara, who is a baker, visit Sandy",Tamara didn't visit Sandy
,,0,maxine won the game and maxine put the phone down,maxine didn t freeze joseph s bank account
,,1,"Verna, who is a baker, saw the accident",Verna didn't saw the accident
,,0,ryan forgot about dora s hobby and ryan drank an orange juice,ryan didn t sing a nice song
,,0,Kelly saw a boy running from a yellow car,Kelly didn't saw a boy running from a special recently built bus
,,0,"Virginia, who is a butcher, saw the new Tesla Roadster","Virginia, Deborah's mother, didn't saw the new Tesla Roadster"
,,0,naomi went to tulcea and jane went to tulcea,naomi didn t go to arad
,,0,"Randall, who is a bartender, saw a blue plane","Randall, Rhonda's father, didn't saw a blue plane"
,,0,clyde felt an outsider and clyde stood up to jeanne,clyde didn t cut my hair
,,1,jaime saw a green car running fast and jaime shut the door down,jaime didn t shut the door down
Jenny is delightful,Viola is nice,0,Jenny is delightful and Viola is nice, Maureen is rich
,,0,herbert has traveled to slatina and harriet has traveled to slatina,judith didn t travel to slatina
,,0,"Blanche, who is a barber, visit Jo","Blanche, Katrina's mother, didn't visit Jo"
,,0,Holly saw a girl running from Thelma's car,Holly didn't saw a girl running from a white school bus
Amy is victorious,Jim is delightful,1,Amy is victorious and Jim is delightful, Amy is not victorious
,,0,jordan has visited blaj and jordan has visited tulcea,jordan didn t visit baia mare
,,1,"Pamela, who is a judge, visit Michael",Pamela didn't visit Michael
,,1,"Cassandra, who is a flight attendant, visit Leah",Cassandra didn't visit Leah
Albert is victorious,Joanne is shy,0,Albert is victorious and Joanne is shy, Albert is not shy
,,1,"Jackie, who is a plumber, visit Brandy",Jackie didn't visit Brandy
